Variable Name,Missing Value Count
RecordNo,0
Vent_3,0
age,0
employment_status,0
endtime,0
future_1,0
future_2,0
future_3,0
gender,0
household_children_resp,0
household_size,0
i12_health_1,0
i12_health_12,0
i12_health_13,0
i12_health_14,0
i12_health_15,0
i12_health_16,0
i12_health_3,0
i12_health_4,0
i12_health_5,0
i12_health_6,0
i12_health_7,0
i12_health_8,0
qweek,0
state,0
vac_man_1,0
vac_man_2,0
vac_man_3,0
vac_man_4,0
vac_man_5,0
vac_man_6,0
vac_man_7,0
vac_man_96,0
vac_man_99,0
weight,0
i14_health_other,1
q_other,1
vac12_booster_other,1
had_covid_2,75
vac_boost_1,635
i11_health,1001
i9_health,1001
i12_health_11,1006
i12_health_2,1006
household_children,1007
vac_boost_beyond,1877
i2_health,2002
WCRex2,2981
long_covid,3265
had_covid,3846
cantril_ladder,3985
vac12_booster_1,4204
vac12_booster_10,4204
vac12_booster_2,4204
vac12_booster_3,4204
vac12_booster_4,4204
vac12_booster_5,4204
vac12_booster_6,4204
vac12_booster_7,4204
vac12_booster_8,4204
vac12_booster_9,4204
vac12_booster_96,4204
vac_boost_2,4204
Vent_1,5843
WCRex1,7014
vac_booster,7835
d1_health_1,9007
d1_health_10,9007
d1_health_11,9007
d1_health_12,9007
d1_health_13,9007
d1_health_2,9007
d1_health_3,9007
d1_health_4,9007
d1_health_5,9007
d1_health_6,9007
d1_health_7,9007
d1_health_8,9007
d1_health_9,9007
d1_health_98,9007
d1_health_99,9007
i12_health_22,9023
i12_health_25,9023
r1_1,9023
r1_2,9023
SC_1_1,9862
SC_1_2,9862
SC_1_3,9862
SC_1_4,9862
SC_1_5,9862
SC_1_6,9862
SC_1_7,9862
SC_1_99,9862
V1_1,9862
V1_2,9862
V1_3,9862
V1_98,9862
V3_adult18_other,9862
V3_baby_other,9862
V3_child2_4_other,9862
V3_child5_17_other,9862
V3_me_other,9862
V4_6,9862
V4_8,9862
V4_9,9862
V4_98,9862
V4_other,9862
i12_health_23,10029
SC_2,10481
SC_3_1,10481
SC_3_2,10481
SC_3_3,10481
SC_3_4,10481
SC_3_5,10481
SC_3_6,10481
SC_3_7,10481
SC_3_99,10481
PHQ4_1,10752
PHQ4_3,10756
PHQ4_4,10761
PHQ4_2,10781
V3_adult18,10818
V3_me,10826
V3_child5_17,10843
V3_child2_4,10844
V3_baby,10863
combi_vac,10864
WAH_1,11138
WAH_2,11138
WAH_3,11138
Vent_2,11871
WAH4,11871
WAH5,12217
WAH6,12650
WAH7_1,12680
WAH7_2,12680
WAH7_3,12680
WAH7_4,12680
WAH7_5,12680
WAH7_6,12680
WAH7_7,12680
WAH7_99,12680
child_age_1,12847
child_age_2,12847
child_age_3,12847
child_age_4,12847
child_age_5,12847
i12_health_26,14059
vac12_12,16337
vac12_13,16337
childvac,16403
child_education_1,17660
child_education_2,17660
child_education_3,17660
child_education_4,17660
i13_health,17901
i7a_health,17901
i12_health_27,18075
i12_health_28,18075
i12_health_29,18075
i10_health,18902
vac2_1,19074
vac2_2,19074
vac2_3,19074
vac14_1,20243
vac14_2,20243
vac14_3,20243
r1_6,20894
r1_7,20894
vac7,21077
Soc1_1,21084
Soc1_2,21084
Soc1_3,21084
Soc2_open,21084
i5_health_1,22130
i5_health_2,22130
i5_health_3,22130
i5_health_4,22130
i5_health_5,22130
i5_health_99,22130
i1_health,22927
i12_health_9,22968
i14_health_1,22968
i14_health_10,22968
i14_health_2,22968
i14_health_3,22968
i14_health_4,22968
i14_health_5,22968
i14_health_6,22968
i14_health_7,22968
i14_health_8,22968
i14_health_9,22968
i14_health_96,22968
i14_health_98,22968
i14_health_99,22968
r1_8,24005
r1_9,24005
vac2_7,24005
vac,25016
i12_health_24,27884
vac12_other,27932
i14_health_11,29576
travel1_1,29852
travel1_2,29852
travel1_3,29852
travel1_4,29852
travel1_99,29852
i3_health,30113
i4_health,30293
i12_health_17,32756
i12_health_18,32756
i12_health_19,32756
i12_health_20,32756
vac_1,36226
vac2_6,37290
r1_3,38851
r1_4,38851
r1_5,38851
i12_health_10,39129
WCRV_4,40745
i12_health_21,41779
vac8,42477
CORE_B2_4,42755
Soc2_1,44315
Soc2_2,44315
Soc2_3,44315
Soc2_4,44315
Soc2_5,44315
Soc2_6,44315
vac_3,44601
vac12_1,44937
vac12_10,44937
vac12_11,44937
vac12_2,44937
vac12_3,44937
vac12_4,44937
vac12_5,44937
vac12_6,44937
vac12_7,44937
vac12_8,44937
vac12_9,44937
vac12_96,44937
vac10_1,45223
vac10_2,45223
vac10_3,45223
vac10_4,45223
vac10_5,45223
vac10_99,45223
vac13,45831
vac11,46123
r1_10,46932
vac3_other,46980
vac3_1,47125
vac3_2,47125
vac3_3,47125
vac3_4,47125
vac3_5,47125
vac3_6,47125
vac3_7,47125
vac3_8,47125
vac3_9,47125
vac5,47125
w1,47806
w2,47806
w3,47806
vac10_8,48887
m2,49805
m4_other,49805
m3,49990
av3,50053
vac9,50106
i6_health,50486
m14_open,50813
av1_1,50818
av1_2,50818
av1_3,50818
av1_99,50818
v4_1,50824
v4_2,50824
v4_3,50824
v4_4,50824
v4_5,50824
m7_other,50949
m14_1,51781
m14_10,51781
m14_11,51781
m14_2,51781
m14_3,51781
m14_4,51781
m14_5,51781
m14_6,51781
m14_7,51781
m14_8,51781
m14_9,51781
m14_96,51781
m14_99,51781
v1,51826
v3_open,51826
v3_other,51826
v4_96,51826
v4_99,51826
av2,51829
vac2_4,51830
vac2_5,51830
vac_2,51830
i5a_health,51841
i7b_health,51934
i8_health,52531
m4_1,52737
m4_2,52737
m4_3,52737
m4_4,52737
m4_96,52737
m4_99,52737
m7_1,52737
m7_10,52737
m7_11,52737
m7_2,52737
m7_3,52737
m7_4,52737
m7_5,52737
m7_6,52737
m7_8,52737
m7_9,52737
ox1_1,52824
ox1_2,52824
ox3_1,52824
ox3_2,52824
ox3_3,52824
ox3_4,52824
ox3_5,52824
ox3_6,52824
ox5_1,52824
ox5_2,52824
ox6,52824
m12_other,52825
m1_1,52825
m1_2,52825
m1_3,52825
m1_4,52825
m6_other,52825
m8_other,52825
ct1_1,52830
ct1_2,52830
ct1b_other,52830
ct2,52830
ct3_other,52830
ct4,52830
ct5_other,52830
ct6_1,52830
ct6_2,52830
ct6_3,52830
ct6_4,52830
ct6_5,52830
ct6_6,52830
ct6_96,52830
ct6_99,52830
ct6_other,52830
ct7_1,52830
ct7_2,52830
ct7_3,52830
ct8_1,52830
ct8_2,52830
ct8_3,52830
ct8_4,52830
ct8_5,52830
ct8_6,52830
ct8_99,52830
disability,52832
w6,52832
w9_1,52832
w9_2,52832
w9_3,52832
w9_4,52832
w9_5,52832
w4_1,52843
w4_10,52843
w4_11,52843
w4_2,52843
w4_3,52843
w4_4,52843
w4_5,52843
w4_6,52843
w4_7,52843
w4_8,52843
w4_9,52843
w4_99,52843
w7,52848
ct1b_1,52855
ct1b_10,52855
ct1b_11,52855
ct1b_2,52855
ct1b_3,52855
ct1b_4,52855
ct1b_5,52855
ct1b_6,52855
ct1b_7,52855
ct1b_8,52855
ct1b_9,52855
ct1b_96,52855
ct1b_99,52855
m10,52870
m11,52870
vac4,52909
vac6,52909
work2,53053
work3,53053
m12_1,53074
m12_2,53074
m12_3,53074
m12_4,53074
m12_5,53074
m12_6,53074
m12_7,53074
m12_8,53074
m12_96,53074
m12_99,53074
m13_1,53074
m13_10,53074
m13_11,53074
m13_2,53074
m13_3,53074
m13_4,53074
m13_5,53074
m13_6,53074
m13_8,53074
m13_9,53074
ox4_2_1,53090
ox4_6_1,53109
ox4_1_1,53110
ox4_4_1,53112
ox4_5_1,53114
ox4_3_1,53115
ox4_7_1,53120
ox4_10_1,53123
ox4_8_1,53126
ox4_9_1,53127
ox4_11_1,53137
work1,53299
work4,53299
work6,53299
w4b,53410
work5,53548
v2_1,53573
v2_2,53573
v2_3,53573
v2_4,53573
v2_5,53573
v2_99,53573
m8_1,53584
m8_2,53584
m8_3,53584
m8_4,53584
m8_5,53584
m8_6,53584
m8_7,53584
m8_8,53584
m8_96,53584
m8_99,53584
m9_1,53584
m9_2,53584
m9_3,53584
m9_4,53584
m9_5,53584
m9_6,53584
m9_7,53584
work7_1,53622
work7_2,53622
work7_3,53622
work7_4,53622
work7_5,53622
work8,53622
w5_1,53654
w5_10,53654
w5_11,53654
w5_12,53654
w5_13,53654
w5_14,53654
w5_15,53654
w5_16,53654
w5_2,53654
w5_3,53654
w5_4,53654
w5_5,53654
w5_6,53654
w5_7,53654
w5_8,53654
w5_9,53654
w5_96,53654
w5_99,53654
m5_2,53691
v3,53693
ct3,53694
ct5_1,53717
ct5_2,53717
ct5_3,53717
ct5_4,53717
ct5_5,53717
ct5_6,53717
ct5_7,53717
ct5_8,53717
ct5_96,53717
ct5_99,53717
m5_1,53758
m6_1,53788
m6_2,53788
m6_3,53788
m6_4,53788
m6_5,53788
m6_6,53788
m6_7,53788
m6_8,53788
m6_96,53788
